
Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome do artista;Nome do álbum;Formato;Formato do álbum;Com faixas adicionais;Ano de lançamento;Quantidade de canções;Gênero;Origem;Quantidade de álbuns;
MLB1549457331;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Andando Na Linha - Contas De Vidro;;Cd Andando na Linha - Contas de Vidro;Cd Andando na Linha - Contas de Vidro;Físico;CD;Não;;12;Brasileira;Brasileira;1;
MLB1637495175;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Chico Buarque - Para Todos;;Vinil Chico Buarque - Para Todos;Vinil Chico Buarque - Para Todos;Físico;Vinil;Não;1980;10;MPB;Brasil;1;
MLB1553485028;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Donna Lewis - Now In A Minute;;Cd Donna Lewis - Now In a Minute;Cd Donna Lewis - Now In a Minute;Físico;CD;Sim;1996;11;Internacional;Brasil;1;
MLB1639237440;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Jazz Sebastien Bach - The Swingle Singers - Raro;;Vinil Jazz Sebastien Bach - The Swingle Singers - RARO;Vinil Jazz Sebastien Bach - The Swingle Singers - RARO;Físico;Vinil;Não;1980;13;Jazz;Japão;1;
MLB1544805805;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single João Gabriel - Não Dê As Costas À Fome;;João Gabriel;Não Dê as Costas à Fome;Físico;CD;Não;;1;Brasileira;Brasil;1;
MLB1647335090;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Jah Mai - Demorou;;Cd Jah Mai - Demorou;Cd Jah Mai - Demorou;Físico;CD;Não;2000;14;Pop;Brasil;1;
MLB1609897118;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Circulado - Tudo Azul - Single Promocional;;CD Circulado - Tudo Azul - Single Promocional;CD Circulado - Tudo Azul - Single Promocional;Físico;CD;Não;2001;1;;;1;
MLB1609312657;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Luppa - Paixão Proibida;;CD Luppa - Paixão Proibida;CD Luppa - Paixão Proibida;Físico;CD;Não;1997;12;;;1;
MLB1609314826;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Estopa;;CD Estopa;CD Estopa;Físico;CD;Sim;;12;;;1;
MLB1542536838;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Richard Marx - Paid Vacation;;Richard Marx;Paid Vacation;Físico;CD;Não;1994;14;Romântica Internacional;EUA;1;
MLB1643752568;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Mozart - Clarinet Concerto;;Vinil Mozart - Clarinet Concerto;Vinil Mozart - Clarinet Concerto;Físico;Vinil;Não;1970;5;Concerto;Brasil;1;
MLB1643761783;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Mercedes Sosa Interpreta Atahualpa Yupanqui;;Vinil Mercedes Sosa Interpreta Atahualpa Yupanqui;Vinil Mercedes Sosa Interpreta Atahualpa Yupanqui;Físico;Vinil;Não;1978;12;Pop;Brasil;1;
MLB1643502856;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil A Grande Orquestra De De Paul Mauriat Nº 3;;Vinil A Grande Orquestra de de Paul Mauriat Nº 3;Vinil A Grande Orquestra de de Paul Mauriat Nº 3;Físico;Vinil;Não;1967;12;Orquestra;Brasil;1;
MLB1541426619;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Banda Silver Som;;CD Banda Silver Som;Amor Bandido;Físico;CD;Não;2018;14;Country;Brasil;1;
MLB1673099870;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Cássia Eller - Ao Vivo;;Dvd Cássia Eller - Ao Vivo;Dvd Cássia Eller - Ao Vivo;Físico;DVD;Não;;24;Rock;Brasil;1;
MLB1609895578;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Coisa De Momento - De Bobeira;;CD Coisa de Momento - De Bobeira;CD Coisa de Momento - De Bobeira;Físico;CD;Não;2001;13;;;1;
MLB1549468428;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Natiruts - Verbalize;;Cd Single Natiruts - Verbalize;Cd Single Natiruts - Verbalize;Físico;CD;Não;;3;Brasileira;Brasileira;1;
MLB1545676573;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Inner Circle - One Way;;Inner Circle;One Way;Físico;CD;Não;1996;9;Internacional;Brasil;1;
MLB1673641345;;;MLB-MUSIC_ALBUMS;MLB1174; Dvd Dionne Warwick E Friends;;DVD DIONNE WARWICK E FRIENDS;DVD DIONNE WARWICK E FRIENDS;Físico;DVD;Não;;21;Musical;Brasil;1;
MLB1541797405;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Jorsan - Grito De Guerra;;Jorsan;Grito de Guerra;Físico;CD;Não;2000;12;MPB;Brasil;1;
MLB1650182117;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Lupicínio Rodrigues - Coleção Folha Raízes Da Mpb 6;;Cd Lupicínio Rodrigues - Coleção Folha Raízes da MPB 6;Cd Lupicínio Rodrigues - Coleção Folha Raízes da MPB 6;Físico;CD;Não;2000;14;MPB;Brasil;1;
MLB1545842327;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Grupo As Solteirissimas - Cd Lua De Mel;;Grupo As Solteirissimas;Cd Lua de Mel;Físico;CD;Não;;10;Axé;Brasil;1;
MLB1607301178;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Timbalada - Cada Cabeça É Um Mundo;;CD Timbalada - Cada Cabeça é um Mundo;CD Timbalada - Cada Cabeça é um Mundo;Físico;CD;Não;;14;Axé;Brasil;1;
MLB1640288893;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Tchaikovsky 1812 - Abertura Op. 49 Romeu E Julieta;;Vinil Tchaikovsky 1812 - Abertura Op. 49 Romeu e Julieta;Vinil Tchaikovsky 1812 - Abertura Op. 49 Romeu e Julieta;Físico;Vinil;;1978;2;Ópera;Brasil;1;
MLB1541621881;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Pé De Moleque - Um Novo Olhar;;Pé de Moleque;Um Novo Olhar;Físico;CD;Não;1990;14;Pagode;Brasil;1;
MLB1553560669;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Almir Galvão  - Basta Um Alô;;Cd Almir Galvão  - Basta um Alô;Cd Almir Galvão  - Basta um Alô;Físico;CD;Não;;12;Brasileira;Brasileira;1;
MLB1608768536;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Promocional Marcelo Aguiar - Toque Em Meu Corpo;;CD Promocional Marcelo Aguiar - Toque em Meu Corpo;CD Promocional Marcelo Aguiar - Toque em Meu Corpo;Físico;CD;;1995;12;;Brasil;1;
MLB1640220491;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil L'escargot Disco Club;;Vinil L'escargot Disco Club;Vinil L'escargot Disco Club;Físico;Vinil;Não;;8;Eletrônica;Brasil;1;
MLB1574649536;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Sex Pistols - Live At The Longhorn;;DVD SEX PISTOLS - LIVE AT THE LONGHORN;DVD SEX PISTOLS - LIVE AT THE LONGHORN;Físico;DVD;;1999;11;Internacional;Brasil;1;
MLB1664215985;;;MLB-MUSIC_ALBUMS;MLB1174;Cd George Benson - In Your Eyes;;Cd George Benson - In Your Eyes;Cd George Benson - In Your Eyes;Físico;CD;Não;1987;10;Jazz;Brasil;1;
MLB1544819680;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Minerva - Promesas;;Minerva;Promesas;Físico;CD;Sim;1997;14;Latina;Brasil;1;
MLB1545822930;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Angela Rôrô - Minha História;;Cd Angela Rôrô - Minha História;Cd Angela Rôrô - Minha História;Físico;CD;Não;;14;MPB;Brasil;1;
MLB1609243386;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Wo Fogo Prá Dançar;;CD Wo Fogo Prá Dançar;CD Wo Fogo Prá Dançar;Físico;CD;Não;;9;;;1;
MLB1639425472;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Todos Os Sucessos De Aki E Masuiyama ;;Aki e Masuiyama;Todos os Sucessos - Narração de Yoshiko Sakuma;Físico;Vinil;Não;1980;14;Pop;Brasil;1;
MLB1549688493;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Wyclef Jean - Guantanamera;;Cd Wyclef Jean - Guantanamera;Cd Wyclef Jean - Guantanamera;Físico;CD;Não;;5;Internacional;México;1;
MLB1640271712;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Ray Conniff - The Perfect 10 Classics - Orchestra And;;Vinil Ray Conniff - The Perfect 10 Classics - Orchestra and Chorus;Vinil Ray Conniff - The Perfect 10 Classics - Orchestra and Chorus;Físico;Vinil;Não;1980;10;Bolero;Brasil;1;
MLB1541469445;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Leila Marhia - Perfume De Mulher;;Leila Marhia;Perfume de Mulher;Físico;CD;Não;;10;Romântica;Brasil;1;
MLB1673062534;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Ney Matogrosso Ao Vivo - Novo Lacrado;044005320992;DVD Ney Matogrosso Ao Vivo - Novo Lacrado;DVD Ney Matogrosso Ao Vivo - Novo Lacrado;Físico;DVD;Não;2000;25;MPB;Brasil;1;
MLB1549376302;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Kid Abelha - Iê Iê Iê;;Cd Kid Abelha - Iê Iê Iê;Cd Kid Abelha - Iê Iê Iê;Físico;CD;Não;1993;9;Pop;Brasil;1;
MLB1541633407;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Trilha Sonora Novela Renascer;;Roberto Carlos, Fábio Jr e Outros;Trilha Sonora Novela Renascer;Digital;CD;Não;1993;14;Trilha Sonora;Brasil;1;
MLB1541418344;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Trilha Sonora Novela A Indomada;;Cd Trilha Sonora Novela;A Indomada;Físico;CD;Não;1997;14;Trilha Sonora;Brasil;1;
MLB1540675209;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Laura Mendes - O Tempo Levou;;Laura Mendes;O Tempo Levou;Físico;CD;Não;2000;;MPB;Brasil;1;
MLB1591417035;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Mix 01 - Coleção Todos Os Sons (num Mix Surpreendente);094633860698;Mix 01 - Coleção Todos Os Sons (Num Mix Surpreendente);Mix 01 - Coleção Todos Os Sons (Num Mix Surpreendente);Físico;DVD;;2004;18;Música;Brasil;1;
MLB1541615361;;;MLB-MUSIC_ALBUMS;MLB1174;Cd K-9 Senzala Moderna;7891591012663;Cd K-9;Senzala Moderna;Físico;CD;Sim;2001;10;Rap;Brasil;1;
MLB1554470453;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Kiloucura Diamante;;Cd Single Kiloucura Diamante;Cd Single Kiloucura Diamante;Físico;CD;Não;;14;Promocional;Brasil;1;
MLB1643522360;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Ray Conniff E Sua Orquestra - S Hollywood;;Vinil Ray Conniff e Sua Orquestra - S Hollywood;Vinil Ray Conniff e Sua Orquestra - S Hollywood;Físico;Vinil;Não;;12;Orquestra;Brasil;1;
MLB1544789765;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Fernanda Porto - Roda Viva;;Fernanda Porto;Roda Viva;Físico;CD;Não;2004;1;Brasileira;Brasil;1;
MLB1560677965;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Promodial Outubro 97;;Legião Urbana, Fernanda Abreu e Outros;Promodial Out/97;Físico;CD;;1997;19;Coletânea;Brasil;1;
MLB1553506926;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Klb - Estou Em Suas Mãos;;Cd Single KLB - Estou em Suas Mãos;Cd Single KLB - Estou em Suas Mãos;Físico;CD;;;1;Pop;Brasil;1;
MLB1639181946;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Olivia Newton John - Greatest Hits Vol.2 - Importado J;;Vinil Olivia Newton John - Greatest Hits Vol.2 - Importado Japão;Vinil Olivia Newton John - Greatest Hits Vol.2 - Importado Japão;Físico;Vinil;Não;1980;14;Hits;Japão;1;
MLB1554900946;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Engenheiros Do Hawaii - Eu Que Não Amo Você;;Cd Single Engenheiros do Hawaii - Eu Que Não Amo Você;Cd Single Engenheiros do Hawaii - Eu Que Não Amo Você;Físico;CD;Não;1999;1;Rock;Brasil;1;
MLB1553487552;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Os Pixadões - Meu Amor Me Deixou;;Cd Os Pixadões - Meu Amor me Deixou;Cd Os Pixadões - Meu Amor me Deixou;Físico;CD;Não;;13;Brasil;Brasil;1;
MLB1609331187;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Keyla - Material Boy - Promocional Diamond Records;;CD Keyla - Material Boy - Promocional Diamond Records;CD Keyla - Material Boy - Promocional Diamond Records;Físico;CD;Sim;;4;;Brasil;1;
MLB1553416703;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Nuclleo 4 - Por Onde A Noite Passeia;;Cd Nuclleo 4 - Por Onde a Noite Passeia;Cd Nuclleo 4 - Por Onde a Noite Passeia;Físico;CD;Não;;11;Disco;Brasil;1;
MLB1553465628;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Coletânea Show Bizz Volume 5;;Cd Coletânea Show Bizz Volume 5;Cd Coletânea Show Bizz Volume 5;Físico;CD;;;12;Coletânea;Brasil;1;
MLB1554396785;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Vagabundos - Vagabundo Eu Sou;;Cd Single Vagabundos - Vagabundo Eu Sou;Cd Single Vagabundos - Vagabundo Eu Sou;Físico;CD;Não;1999;1;Promocional;Brasil;1;
MLB1551854607;;;MLB-MUSIC_ALBUMS;MLB1174;Box Nova História Da Música Popular Brasileira ;;Milton Nascimento, Lamartine Babo, Noel Rosa e Outros;Box Nova História da Música Popular Brasileira;Físico;Vinil;Não;1976;6000;MPB;Brasil;63;
MLB1544809527;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Catedral - Uma Canção De Amor Pra Você;;Catedral;Uma Canção de Amor Pra Você;Físico;CD;Sim;2000;11;Gospel;Brasil;1;
MLB1547923054;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Revelação - Compasso Do Amor;;Cd Revelação - Compasso do Amor;Cd Revelação - Compasso do Amor;Físico;CD;Não;;14;Pagode;Brasil;1;
MLB1544814895;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Star Samba - Quero Namorar;;Star Samba;Quero Namorar;Físico;CD;Não;;14;Samba;Brasil;1;
MLB1609935620;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Single Marisa Monte - Não É Fácil;;CD Single Marisa Monte - Não é Fácil;CD Single Marisa Monte - Não é Fácil;Físico;CD;;;1;;Brasil;1;
MLB1544810999;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Baile Alemão - Ah Não! Isso Não;;Baile Alemão;Ah Não! Isso Não;Físico;CD;Não;;16;Alemã;Brasil;1;
MLB1609921647;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Titãs Volume 2;;CD Titãs Volume 2;CD Titãs Volume 2;Físico;CD;Não;1998;16;Rock;Brasil;1;
MLB1640283892;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Sounds Like Glenn Miller As Played By The Side Men;;Vinil Sounds Like Glenn Miller as Played by the Side Men;Vinil Sounds Like Glenn Miller as Played by the Side Men;Físico;Vinil;Não;1976;10;Bolero;Brasil;1;
MLB1673709312;;;MLB-MUSIC_ALBUMS;MLB1174;Vcd Sade Live - Video Collection;;VCD SADE LIVE - VIDEO COLLECTION;VCD SADE LIVE - VIDEO COLLECTION;Físico;VCD;Não;1993;17;Pop;Brasil;1;
MLB1609966857;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Single Paulinho Moska - Ímã;;CD Single Paulinho Moska - Ímã;CD Single Paulinho Moska - Ímã;Físico;CD;;;1;;Brasil;1;
MLB1590959449;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Metallica - Cunning Stunts Disc 2;;DVD Metallica - Cunning Stunts Disc 2;DVD Metallica - Cunning Stunts Disc 2;Físico;Widescreen;Não;2004;14;Rock;Brasil;1;
MLB1549480906;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Alceu Carlos E Marquinhos - Louco Desejo;;Cd Alceu Carlos e Marquinhos - Louco Desejo;Cd Alceu Carlos e Marquinhos - Louco Desejo;Físico;CD;Não;;8;Sertanejo;Brasil;1;
MLB1542519836;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Mayam - Viver Assim;;Mayam;Viver Assim;Físico;CD;Não;2002;13;Brasileira;Brasil;1;
MLB1544699727;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Lulu Santos - Calendário;;Lulu Santos;Calendário;Físico;CD;Não;1999;11;Pop;Brasil;1;
MLB1553564750;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Pato Fu - Água;;Cd Single Pato Fu - Água;Cd Single Pato Fu - Água;Físico;CD;;;1;Brasileira;Brasileira;1;
MLB1549377923;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Aldeia - Nas Ruas;;Cd Aldeia - Nas Ruas;Cd Aldeia - Nas Ruas;Físico;CD;Sim;1997;12;Brasileira;Brasileira;1;
MLB1640193842;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Bert Kaempfert - Série Autógrafos De Sucesso;;Vinil Bert Kaempfert - Série Autógrafos de Sucesso;Vinil Bert Kaempfert - Série Autógrafos de Sucesso;Físico;Vinil;;1971;12;Bolero;Brasil;1;
MLB1545846296;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Diana King - L -l- Lies;;Diana King;L -L- Lies;Físico;CD;Não;1997;5;Internacional;Brasil;1;
MLB1545762866;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Cingle Cokettel Bhananna - Tão Querendo Me Dar;;Cd Cingle Cokettel Bhananna - Tão Querendo me Dar;Cd Cingle Cokettel Bhananna - Tão Querendo me Dar;Físico;CD;Não;1995;1;Brasileira;Brasileira;1;
MLB1549445943;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Roberto Guedes - Amo Para Viver;;Cd Roberto Guedes - Amo Para Viver;Cd Roberto Guedes - Amo Para Viver;Físico;CD;Não;;10;Brasileira;Brasileira;1;
MLB1665203796;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd 25 Anos De Música - Saturday Night Live - Edição De Cole;;DVD 25 Anos de Música - Saturday Night Live - Edição de Colecionador;DVD 25 Anos de Música - Saturday Night Live - Edição de Colecionador;Digital;DVD;Não;2000;12;SOUL;Brasil;1;
MLB1674019341;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Zizi Possi - Per Amore Ao Vivo;;DVD ZIZI POSSI - PER AMORE AO VIVO;DVD ZIZI POSSI - PER AMORE AO VIVO;Físico;DVD;Não;;;Pop;Brasil;1;
MLB1544794166;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Miryan Martin - Então Vem - Autografado;;Miryan Martin;Então Vem - AUTOGRAFADO;Físico;CD;Não;2000;11;Brasileira;Brasil;1;
MLB1542549457;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Dread Lion - Oh! Chuva;;Dread Lion;Oh! Chuva;Físico;CD;Não;;1;Brasileira;Brasil;1;
MLB1545750222;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Oceano Inocente - Vista Linda;;Oceano Inocente;Vista Linda;Físico;CD;Não;;11;Brasileira;Brasileira;1;
MLB1541468240;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Henrique E Hernane - Levanta Esse Deitado;;Henrique e Hernane;Levanta Esse Deitado;Físico;CD;Não;2000;;Sertanejo;Brasil;1;
MLB1560667116;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Festa Brasileira - Mais Uma Vez - O Hino Da Copa;;Netinho, Banda Eva, Cheiro de Amor e Outros;Festa Brasileira - O Hino da Copa;Físico;CD;Não;1998;1;Axé;Brasil;1;
MLB1540656366;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Alex Cohen - Declaração;;Alex Cohen;Declaração;Físico;CD;Não;2005;13;Romantica;Brasil;1;
MLB1542548406;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Emyclam - Reflexões;;Emyclam;Reflexões;Físico;CD;Não;;11;Brasileira;Brasil;1;
MLB1650165067;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Single - Adriana Maciel - Acabou Chorare;;Cd Single - Adriana Maciel - Acabou Chorare;Cd Single - Adriana Maciel - Acabou Chorare;Físico;CD;Sim;2004;1;Pop;Brasil;1;
MLB1609911817;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Grupo Feras Potentes - Mania De Pagode - Cd Single;;CD Grupo Feras Potentes - Mania de Pagode - CD Single;CD Grupo Feras Potentes - Mania de Pagode - CD Single;Físico;CD;Não;1996;1;;Brasil;1;

Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome do filme;Diretor do filme;Formato do filme;Resolução de vídeo;Quantidade de discos;Áudio;Gênero;Companhia produtora;Formato;
MLB1599606893;;;MLB-MOVIES;MLB1169;Box Gladiador Com 3 Dvds Edição Especial Estendida Russell ;;Box Gladiador Com 3 DVDs Edição Especial Estendida Russell Crowe;Box Gladiador Com 3 DVDs Edição Especial Estendida Russell Crowe;Widescreen Anamórfico;NTSC;3;Inglês,Português;Ação;Universal;Físico;
MLB1604715805;;;MLB-MOVIES;MLB1169; Dvd Pequenos Invasores;;DVD Pequenos Invasores;DVD Pequenos Invasores;WIDESCREEN;NTSC;1;Inglês,Espanhol,Português;Infantil;20 CENTURY FOX;;
MLB1575110550;;;MLB-MOVIES;MLB1169;Dvd Star Wars 3 -a Vingança Dos Sith;;Dvd Star Wars 3 -A Vingança Dos Sith;Dvd Star Wars 3 -A Vingança Dos Sith;Dvd Star Wars 3 -A Vingança Dos Sith;THX;1;Português;Ficção;Lucasfilm;Físico;
MLB1574681989;;;MLB-MOVIES;MLB1169; Dvd Falando Com Os Mortos (filme Espirita);;Dvd Falando Com Os Mortos (Filme Espirita);Dvd Falando Com Os Mortos (Filme Espirita);DVD;Full Screem;1;Português e Inglês;Espirita;Alpha Filmes;Físico;
MLB1576488759;;;MLB-MOVIES;MLB1169;Dvd  Transformers: Mega Coleção - 4 Discos;;TRANSFORMERS: MEGA COLEÇÃO - 4 Discos;TRANSFORMERS: MEGA COLEÇÃO - 4 Discos;Widerscreen;NTSC;4;Inglês,Português;Ação;Dream Worlds;Físico;
MLB1591763435;;;MLB-MOVIES;MLB1169; Dvd - 11:14 - Onze E Quatorze;;DVD - 11:14 - Onze e Quatorze;DVD - 11:14 - Onze e Quatorze;Full Screen;NTSC;1;Inglês,Português;Horror;Califórnia Filmes;Físico;
MLB1597074407;;;MLB-MOVIES;MLB1169; Blu-ray - Vingança Entre Assassinos;;Blu-Ray - Vingança entre Assassinos;Blu-Ray - Vingança entre Assassinos;Widescreen;NTSC;1;Português,Inglês;Ação;FlashStar;Físico;
MLB1643171175;;;MLB-MOVIES;MLB1169; Blu-ray - Happy Feet O Pinguim;;Blu-Ray - Happy Feet O Pinguim;Blu-Ray - Happy Feet O Pinguim;Widescreen;1080p;1;Inglês,Português;Animação;Warner;Físico;
MLB1574638226;;;MLB-MOVIES;MLB1169;Dvd Duplo - Superman - O Retorno;;DVD DUPLO - Superman - O Retorno;DVD DUPLO - Superman - O Retorno;DVD;DVD;2;Português;Ação;DC;Físico;
MLB1599443410;;;MLB-MOVIES;MLB1169;Blu-ray 3d - Ela Dança, Eu Danço 4 ;;Blu-Ray 3D - Ela Dança, Eu Danço 4;Blu-Ray 3D - Ela Dança, Eu Danço 4;Widescreen Anamórfico;NTSC;1;Inglês,Português,Espanhol,Francês;Romance;Universal;Físico;
MLB1591419411;;;MLB-MOVIES;MLB1169; Dvd Harry Potter E A Câmara Secreta;;DVD Harry Potter E A Câmara Secreta;DVD Harry Potter E A Câmara Secreta;Fullscreen;NTSC;1;Inglês,Português;Magia;Warner;Físico;
MLB1575440411;;;MLB-MOVIES;MLB1169;Dvd Type O Negative After Dark;;DVD Type o Negative After Dark;DVD Type o Negative After Dark;Widescreen;;1;Inglês;Musical;Roadrunner;Físico;
MLB1599749599;;;MLB-MOVIES;MLB1169; Dvd Eu Sou O Numero Quatro;;DVD Eu Sou o Numero Quatro;DVD Eu Sou o Numero Quatro;Touchstone;NTSC;1;Português,Inglês,Espanhol;Ação;Disney;Físico;
MLB1576434568;;;MLB-MOVIES;MLB1169; Dvd Jogo De Espiões - Brad Pitt;;Dvd Jogo De Espiões - Brad Pitt;Dvd Jogo De Espiões - Brad Pitt;Widescreen;NTSC;1;Português;Ação;Europa Filmes;Físico;
MLB1599471518;;;MLB-MOVIES;MLB1169; Blu-ray Buck, Meu Adorável Cão Selvagem 3d;;Blu-Ray Buck, Meu Adorável Cão Selvagem 3D;Blu-Ray Buck, Meu Adorável Cão Selvagem 3D;Widerscreen Anamórfico;NTSC;1;Inglês,Português;Aventura;Vinny Filmes;Físico;
MLB1607185243;;;MLB-MOVIES;MLB1169; Dvd Barry E A Banda Das Minhocas;;DVD Barry e a Banda das Minhocas;DVD Barry e a Banda das Minhocas;WIDESCREEN;NTSC;1;Português,Inglês;Infantil;IMAGEM FILMES;Físico;
MLB1604495019;;;MLB-MOVIES;MLB1169;Dvd Reino Escondido;;DVD Reino Escondido;DVD Reino Escondido;WIDESCREEN;NTSC;1;Inglês,Português,Espanhol;Infantil;20 CENTURY FOX;Físico;
MLB1643224565;;;MLB-MOVIES;MLB1169;Blu-ray Operação Presente;;Blu-ray Operação Presente;Blu-ray Operação Presente;Blu-ray;1080p;1;Inglês,Português,Iteliano,Japonês;Infantil;Sony Pictures;Físico;
MLB1607177245;;;MLB-MOVIES;MLB1169; Dvd Os Feiticeiros De Waverly Place - O Filme;;DVD Os Feiticeiros de Waverly Place - O Filme;DVD Os Feiticeiros de Waverly Place - O Filme;WIDESCREEN;NTSC;1;Português,Inglês,Espanhol;Infantil;Disney;Físico;
MLB1607183413;;;MLB-MOVIES;MLB1169; Dvd Os Batutinhas O Melhor De Batatinha;;DVD Os Batutinhas O Melhor De Batatinha;DVD Os Batutinhas O Melhor De Batatinha;FULLSCREEN;NTSC;1;Inglês,Português;Infantil;FLASHSTAR;Físico;
MLB1576295383;;;MLB-MOVIES;MLB1169;Dvd O Poderoso Chefão Parte Iii;;DVD O PODEROSO CHEFÃO PARTE III;DVD O PODEROSO CHEFÃO PARTE III;Widescreen;NTSC;1;Inglês;Ação;Paramount;Físico;
MLB1597313839;;;MLB-MOVIES;MLB1169; Blu-ray 12 Horas;;Blu-Ray 12 Horas;Blu-Ray 12 Horas;Letterbox;NTSC;1;Inglês,Português;Suspense;Paris Filmes;Físico;
MLB1607278760;;;MLB-MOVIES;MLB1169;Dvd Hitler E Mussolini - Amizade Nefasta;7898923203416;DVD Hitler e Mussolini - Amizade Nefasta - DVD RARO NOVO E LACRADO;DVD Hitler e Mussolini - Amizade Nefasta - DVD RARO NOVO E LACRADO;FULLSCREEN;NTSC;1;Inglês;DOCUMENTÁRIO;MAXIMUS LOOKS;Físico;
MLB1575153633;;;MLB-MOVIES;MLB1169; Dvd O Amor É Cego Jack Black;;Dvd O Amor É Cego Jack Black;Dvd O Amor É Cego Jack Black;Widescreem;NTSC;1;Inglês,Português,Espanhol;Comédia Romântica;20 Century Fox;Físico;
MLB1607187869;;;MLB-MOVIES;MLB1169;Dvd - A Terra Encantada De Gaya;;Dvd - A Terra Encantada De Gaya;Dvd - A Terra Encantada De Gaya;WIDESCREEN;NTSC;1;Inglês,Português;Infantil;PARIS FILMES;Físico;
